Date,Observation Time,Purchase Order Number,RCS Number,Work Order Number,Job Start Time,Job Finish Time,Work group,Risk,OC,Authority To Proceed Description,Does ARP walk the job. In the alloted time frames,Field Verifications Completed (ARP),Field Verifications Completed (CRP),Supervision Present,# of People on Job
27/07/2021,7:30:00,7135408,,,7:10:00,11:00:00,SAL,Medium,3P,Routine vibration testing BLD44,No,Yes,Yes,No,1
27/07/2021,7:00:00,7191268,91971,,6:30:00,,Awayclean,Medium,3C,Vacuum Superfines,No,Yes,Yes,No,3
27/07/2021,8:46:00,7193095,92061,,7:30:00,,GLU Elec,Medium,3C,Replace lights,No,Yes,Yes,No,2
27/07/2021,11:00:00,7193095,92061,,7:30:00,,GLU Elec,Medium,3C,Replace lights,No,Yes,Yes,No,2
27/07/2021,13:55:00,7193095,92061,,7:30:00,14:30:00,GLU Elec,Medium,3C,Replace lights,No,Yes,Yes,No,2
28/07/2021,14:00:00,,,,10:01:00,14:30:00,GLU Ropes,High,3P,Weld Repairs #50 Precip,No,Yes,Yes,No,4
28/07/2021,8:05:00,,86161,,8:00:00,,SAL,Medium,3P,MP1 I55 Precip,No,Yes,Yes,No,2
28/07/2021,11:10:00,,86161,,8:00:00,,SAL,Medium,3P,MP1 I55 Precip,No,Yes,Yes,No,4
28/07/2021,14:10:00,,86161,,8:00:00,,SAL,Medium,3P,MP1 I55 Precip,No,Yes,Yes,No,2
29/07/2021,8:47:00,7129630,,,7:30:00,,Refeak,High,3P,#50 Precip Blast,No,Yes,Yes,No,3
29/07/2021,10:58:00,7135408,,,9:00:00,12:00:00,SAL,Medium,3P,Vibration Analysis,No,Yes,Yes,No,1
29/07/2021,9:02:00,7185142,,,8:00:00,,Awayclean,Medium,3P,Reclaim Hydrate,No,Yes,Yes,No,2
29/07/2021,10:47:00,7185142,,,8:00:00,,Awayclean,Medium,3P,Reclaim Hydrate,No,Yes,Yes,No,2
29/07/2021,14:00:00,7185142,,,8:00:00,,Awayclean,Medium,3P,Reclaim Hydrate,No,Yes,Yes,No,2
16/07/2021,11:43:00,7181625,87318,,7:00:00,,GLU Scaff,High,1,Strip scaffold #51 B.O.T.,No,No,No,Yes,4
16/07/2021,11:21:00,7188644,92026,,6:30:00,,GLU Scaff,High,1,#6 Mill c/out K.G.A. valve,No,No,No,Yes,2
19/07/2021,13:25:00,7143978,92178,,7:15:00,13:30:00,Dartla,High,2,Erect scaffold 35R tank for cladding repair ,No,No,No,Yes,3
23/07/2021,13:20:00,7185218,,,10:00:00,14:00:00,Roth,Medium,2,Earthworks  Potable water line,No,No,No,Yes,4
23/07/2021,11:25:00,7198275,,,10:00:00,,Roth,Medium,2,Earth works on potable water line,No,No,No,Yes,2
8/07/2021,9:15:00,7191412,,,8:00:00,,Pactim Engineering,Medium,1,#22 heater repairs,No,No,Yes,Yes,3
14/07/2021,14:15:00,7186959,,,7:30:00,,Southfeld,High,1,D1/D2 tripper floor repairs,No,No,Yes,Yes,4
28/07/2021,14:30:00,7172256,,,7:00:00,,WHOB,High,3C,Repair Drainage,No,No,Yes,Yes,5
29/07/2021,7:30:00,7172256,,,7:30:00,,WHOB,High,3C,Drain repairs,No,No,Yes,Yes,5
29/07/2021,9:20:00,7172256,,,7:30:00,,WHOB,High,3C,Drain repairs,No,No,Yes,Yes,5
29/07/2021,11:04:00,7172256,,,7:30:00,,WHOB,High,3C,Drain repairs,No,No,Yes,Yes,5
29/07/2021,14:20:00,7172256,,,7:30:00,,WHOB,High,3C,Drain repairs,No,No,Yes,Yes,5
5/07/2021,9:00:00,7190455,J002450,,8:20:00,,Pactim Engineering,Medium,1,30E Heater repairs,No,Yes,Yes,Yes,3
5/07/2021,8:55:00,7190400cs,92237,,8:00:00,,Mechener,High,1,Install hot tap HPW blast valve,No,Yes,Yes,Yes,6
6/07/2021,7:45:00,7190400,92237,,7:30:00,,Mechener,High,1,HPW clean Steam valve 30 unit #4,No,Yes,Yes,Yes,3
6/07/2021,8:10:00,7190455,J002450,,7:30:00,14:45:00,Pactim Engineering,Medium,1,Repair heater 30E,No,Yes,Yes,Yes,4
12/07/2021,13:40:00,7188546,,,9:30:00,,SAL Ropes,High,1,Routine thickness testing Bld 30,No,Yes,Yes,Yes,2
12/07/2021,11:45:00,7188546CS,,,9:30:00,,SAL Ropes,High,1,Routine thickness testing Bld 30,No,Yes,Yes,Yes,2
13/07/2021,11:41:00,7174271,88130,,8:55:00,,Pactim Engineering,Medium,1,#6 mill girth gear inspection,No,Yes,Yes,Yes,2
13/07/2021,13:20:00,7174271,88130,,8:55:00,,Pactim Engineering,Medium,1,#6 mill girth gear inspection,No,Yes,Yes,Yes,2
13/07/2021,9:18:00,7174721,88130,,8:55:00,,Pactim Engineering,Medium,1,#6 mill girth gear inspection,No,Yes,Yes,Yes,2
13/07/2021,8:07:00,7189798,,,8:00:00,,Pactim Engineering,Medium,1,#55 heater repairs,No,Yes,Yes,Yes,3
13/07/2021,10:56:00,7189798,,,8:00:00,,Pactim Engineering,Medium,1,#55 heater repairs,No,Yes,Yes,Yes,4
13/07/2021,14:00:00,7193332,,,14:15:00,,Pactim Engineering,Medium,1,11/1 Bld. 42 heater repairs,No,Yes,Yes,Yes,4
14/07/2021,7:00:00,7177384,,,6:30:00,,GLU Scaff,High,1,Dismantle scaffolds #34 Digester bank,No,Yes,Yes,Yes,3
14/07/2021,10:00:00,7177384,,,7:00:00,,GLU Scaff,Medium,1,Strip scaffolds  #34 Digester bank,No,Yes,Yes,Yes,3
14/07/2021,9:20:00,7193332,,,7:30:00,,Pactim Engineering,Medium,1,Repair Bld. 42 11/1 heater,No,Yes,Yes,Yes,3
14/07/2021,8:00:00,7193332,,,7:30:00,,Pactim Engineering,Medium,1,Repair Bld. 42 11/1 heater,No,Yes,Yes,Yes,3
16/07/2021,7:00:00,7181625,87318,,7:00:00,,GLU Scaff,High,1,Strip scaffold #51 B.O.T.,No,Yes,Yes,Yes,4
16/07/2021,12:10:00,7188546,,,10:25:00,,SAL Ropes,High,1,Routine testing 25A,No,Yes,Yes,Yes,2
16/07/2021,11:25:00,7191411,91815,,8:45:00,,GLU Ropes,High,1,Replace DSM segment #5 mill,No,Yes,Yes,Yes,3
16/07/2021,13:43:00,7191411,91815,,8:45:00,,GLU Ropes,High,1,Replace DSM segment #5 mill,No,Yes,Yes,Yes,3
16/07/2021,12:13:00,718707465,,,12:15:00,,Conveyrubber,High,1,Splice Mill #4 feed conveyor,No,Yes,Yes,Yes,3
16/07/2021,13:55:00,718707465,,,12:14:00,,Conveyrubber,High,1,Splice Mill #4 feed conveyor,No,Yes,Yes,Yes,3
16/07/2021,7:45:00,7193332,,,7:30:00,,Pactim Engineering,Medium,1,Repair 11/1 heater Bld. 42,No,Yes,Yes,Yes,2
16/07/2021,11:00:00,7193332,,,7:30:00,,Pactim Engineering,Medium,1,Repair 11/1 heater Bld. 42,No,Yes,Yes,Yes,2
19/07/2021,8:21:00,7143978,92178,,7:15:00,,Dartla,High,2,Erect scaffold 35R tank for cladding repair ,No,Yes,Yes,Yes,3
19/07/2021,10:21:00,7194254,,,7:00:00,,Awayclean,High,2,HPW clean  #13 Mud thickener tank,No,Yes,Yes,Yes,3
20/07/2021,11:19:00,7191128,,,7:00:00,,Awayclean,High,2,HPW clean Bld #35 Mud troughs,No,Yes,Yes,Yes,6
20/07/2021,14:03:00,7191128,,,7:00:00,,Awayclean,High,2,HPW clean Bld. #35 Mud troughs,No,Yes,Yes,Yes,6
26/07/2021,11:59:00,7133470,,,7:30:00,12:00:00,SAL,Medium,3C,Thermal Imaging Calciner 3,No,Yes,Yes,Yes,3
26/07/2021,11:07:00,,86161,,11:00:00,,SAL,Medium,3P,PT 155 MP1,No,Yes,Yes,Yes,1
26/07/2021,13:16:00,,86161,,11:00:00,,SAL,Medium,3P,PT 155 MP1,No,Yes,Yes,Yes,2
27/07/2021,7:15:00,7172256,,,7:30:00,,WHOB,High,3C,Repair Drainage,No,Yes,Yes,Yes,6
27/07/2021,11:42:00,7172256,,,7:30:00,,WHOB,High,3C,Repair Drainage,No,Yes,Yes,Yes,6
27/07/2021,14:00:00,7172256,,,7:30:00,,WHOB,High,3C,Repair Drainage,No,Yes,Yes,Yes,6
27/07/2021,11:10:00,7191268,91971,,6:30:00,,Awayclean,Medium,3C,Vacuum Superfines,No,Yes,Yes,Yes,3
27/07/2021,13:30:00,7191268,91971,,6:30:00,18:30:00,Awayclean,Medium,3C,Vacuum Superfines,No,Yes,Yes,Yes,3
28/07/2021,7:15:00,7172256,,,7:00:00,,WHOB,High,3C,Repair Drainage,No,Yes,Yes,Yes,5
28/07/2021,10:30:00,7172256,,,7:00:00,,WHOB,High,3C,Repair Drainage,No,Yes,Yes,Yes,5
28/07/2021,7:00:00,7191268,91971,,6:30:00,,Awayclean,Medium,3C,Vacuum Superfines,No,Yes,Yes,Yes,3
28/07/2021,10:15:00,7191268,91971,,6:30:00,,Awayclean,Medium,3C,Vacuum Superfines,No,Yes,Yes,Yes,3
28/07/2021,14:25:00,7191268,91971,,6:30:00,,Awayclean,Medium,3C,Vacuum Superfines,No,Yes,Yes,Yes,3
26/07/2021,8:15:00,7194166,,,7:30:00,,GLU Mech,Medium,3C,Install 3 Way V/V S,Yes,Yes,No,No,2
8/07/2021,9:22:00,7178513,,,7:30:00,,Awayclean,High,1,Descale #34 Sand trap,Yes,No,Yes,No,4
20/07/2021,8:15:00,7176446,,,7:30:00,,Awayclean,High,2,HPW clean #13 Mud thickener tank,Yes,No,Yes,No,5
6/07/2021,13:30:00,7159052,85909,,8:30:00,14:29:00,Roth,Medium,1,Remove concrete from 51 MPP base,Yes,Yes,Yes,No,1
6/07/2021,11:50:00,7188654,,,8:00:00,,SAL,Low,1,Sub station thermal checks on cabinets ,Yes,Yes,Yes,No,2
6/07/2021,9:55:00,7185097,,,9:30:00,,Awayclean,Medium,1,Vacuum #56 sump pit,Yes,Yes,Yes,No,2
6/07/2021,8:03:00,7175923,,2285000,8:00:00,,Refeak,High,1,Insert Tee piece in slurry line 30 unit 4,Yes,Yes,Yes,No,2
